Gemeente,Jaar,Totaal,A,BF,GN,OU
Voorschoten,2009,5.40,0.02,0.55,2.59,2.24
Voorschoten,2010,5.78,0.02,0.58,2.85,2.33
Voorschoten,2011,5.37,0.02,0.56,2.76,2.03
Voorschoten,2012,5.00,0.02,0.46,2.71,1.80
Voorschoten,2013,4.83,0.02,0.39,2.58,1.84
Voorschoten,2014,4.44,0.02,0.37,2.21,1.83
Voorst,2008,8.99,0.36,1.97,3.72,2.93
Voorst,2009,9.15,0.38,1.90,3.49,3.38
Voorst,2010,9.48,0.34,1.80,3.39,3.95
Voorst,2011,9.59,0.31,1.67,3.54,4.07
Voorst,2012,9.55,0.30,1.59,3.63,4.02
Voorst,2013,9.24,0.35,1.36,3.62,3.92
Voorst,2014,9.21,0.39,1.40,3.54,3.89
Vught,2008,10.89,0.12,1.01,3.54,6.22
Vught,2009,11.10,0.14,0.90,3.48,6.58
Vught,2010,11.74,0.00,0.83,3.73,6.92
Vught,2011,10.78,0.25,0.81,3.67,6.06
Vught,2012,11.11,0.22,0.77,3.67,6.44
Vught,2013,10.45,0.21,0.70,3.60,5.94
Vught,2014,10.48,0.21,0.67,3.68,5.92
Waalre,2008,4.48,0.00,0.76,2.63,1.09
Waalre,2009,5.01,0.00,0.74,3.18,1.08
Waalre,2010,5.08,0.00,0.69,3.10,1.28
Waalre,2011,5.40,0.01,0.66,3.60,1.14
Waalre,2012,5.12,0.01,0.72,3.20,1.20
Waalre,2013,4.33,0.00,.,2.68,1.11
Waalre,2014,4.31,0.00,.,2.65,1.10
Waalwijk,2008,25.31,0.20,6.53,13.88,4.69
Waalwijk,2009,24.82,0.21,6.18,13.46,4.97
Waalwijk,2010,24.83,0.19,6.11,14.11,4.43
Waalwijk,2011,25.82,0.19,5.84,14.53,5.26
Waalwijk,2012,25.30,0.19,5.82,14.74,4.55
Waalwijk,2013,25.61,0.20,5.55,14.35,5.50
Waalwijk,2014,26.53,0.17,5.77,15.09,5.50
Waddinxveen,2008,11.70,0.41,2.05,6.79,2.44
Waddinxveen,2009,11.49,0.44,1.85,6.84,2.36
Waddinxveen,2010,11.35,0.45,1.76,6.73,2.42
Waddinxveen,2011,11.35,0.47,1.76,6.80,2.32
Waddinxveen,2012,11.42,0.48,1.72,6.98,2.24
Waddinxveen,2013,10.99,0.46,1.60,6.74,2.18
Waddinxveen,2014,11.37,0.42,1.51,7.36,2.08
Wageningen,2008,15.96,0.00,0.94,9.11,5.73
Wageningen,2009,16.17,0.00,1.05,8.28,6.65
Wageningen,2010,16.24,0.00,0.90,8.13,6.92
Wageningen,2011,17.76,0.30,0.94,8.88,7.64
Wageningen,2012,16.95,0.29,1.00,8.12,7.55
Wageningen,2013,16.81,0.28,0.90,8.37,7.26
Wageningen,2014,16.80,0.50,0.97,8.19,7.14
Wassenaar,2008,7.45,0.00,0.58,3.81,2.94
Wassenaar,2009,7.45,0.00,0.61,3.68,3.05
Wassenaar,2010,8.17,0.02,0.56,3.79,3.80
Wassenaar,2011,8.39,0.02,0.62,3.83,3.92
Wassenaar,2012,8.09,0.04,0.58,3.63,3.85
Wassenaar,2013,7.18,0.04,0.57,3.23,3.34
Wassenaar,2014,7.29,0.04,0.54,3.30,3.42
Waterland,2008,3.00,0.06,0.64,1.59,0.72
Waterland,2009,2.93,0.07,0.61,1.52,0.74
Waterland,2010,3.18,0.07,0.59,1.62,0.90
Waterland,2011,3.10,0.06,0.48,1.64,0.91
Waterland,2012,3.21,0.05,0.44,1.66,1.06
Waterland,2013,3.20,0.05,0.47,1.73,0.95
Waterland,2014,3.09,0.05,0.44,1.73,0.87
Weert,2008,28.15,0.20,7.42,12.66,7.87
Weert,2009,27.22,0.25,7.33,11.64,8.00
Weert,2010,27.60,0.30,7.28,12.11,7.90
Weert,2011,27.43,0.30,7.12,12.35,7.65
Weert,2012,26.35,0.28,6.93,11.46,7.69
Weert,2013,25.80,0.29,6.63,11.52,7.36
Weert,2014,24.78,0.28,6.17,11.69,6.64
Weesp,2008,9.75,0.00,2.34,6.03,1.37
Weesp,2009,9.24,0.00,2.31,5.33,1.58
Weesp,2010,9.01,0.00,2.10,5.34,1.55
Weesp,2011,8.22,0.02,1.65,5.04,1.51
Weesp,2012,8.39,0.02,1.62,5.23,1.52
Weesp,2013,8.16,0.02,1.59,5.04,1.51
Weesp,2014,8.97,0.03,1.60,5.78,1.57
Werkendam,2008,7.37,0.17,2.35,3.52,1.34
Werkendam,2009,7.58,0.18,2.36,3.58,1.47
Werkendam,2010,8.43,0.17,2.44,3.63,2.20
Werkendam,2011,8.60,0.18,2.39,3.82,2.21
Werkendam,2012,7.92,0.16,2.26,3.54,1.96
Werkendam,2013,7.83,0.15,2.23,3.51,1.94
Werkendam,2014,7.94,0.22,2.26,3.56,1.90
West Maas en Waal,2008,4.90,0.24,1.08,2.13,1.46
West Maas en Waal,2009,4.81,0.23,1.01,2.06,1.51
West Maas en Waal,2010,4.61,0.24,0.88,2.02,1.47
West Maas en Waal,2011,5.03,0.26,0.83,2.30,1.64
West Maas en Waal,2012,4.87,0.25,0.75,2.35,1.52
West Maas en Waal,2013,4.75,0.25,0.75,2.28,1.47
West Maas en Waal,2014,4.47,0.23,0.69,2.24,1.31
Westerveld,2008,6.44,0.14,0.54,1.55,4.21
Westerveld,2009,6.47,0.17,0.73,1.57,3.99
Westerveld,2010,6.61,0.16,0.71,1.47,4.28
Westerveld,2011,6.70,0.13,0.65,1.59,4.34
Westerveld,2012,6.53,0.12,0.59,1.36,4.46
Westerveld,2013,6.71,0.00,.,1.41,4.62
Westerveld,2014,7.42,0.13,0.00,1.44,.
Westervoort,2008,2.38,0.00,0.27,1.67,0.42
Westervoort,2009,2.29,0.00,0.32,1.48,0.49
Westervoort,2010,2.07,0.00,0.25,1.14,0.67
Westervoort,2011,2.01,0.00,.,1.13,0.65
Westervoort,2012,1.98,0.00,.,1.15,0.64
Westervoort,2013,1.87,0.00,.,1.06,0.63
Westervoort,2014,2.21,0.00,.,1.18,0.87
Westland,2008,60.00,9.63,8.72,33.91,7.75
Westland,2009,57.68,9.43,8.38,32.21,7.66
Westland,2010,59.74,9.85,8.30,32.89,8.70
Westland,2011,61.68,9.89,8.38,34.45,8.96
Westland,2012,61.14,9.54,8.09,34.38,9.13
Westland,2013,60.73,9.70,7.54,33.80,9.68
Westland,2014,61.51,9.66,8.02,35.00,8.84
Weststellingwerf,2008,6.36,0.16,1.62,2.64,1.94
Weststellingwerf,2009,6.20,0.16,1.51,2.60,1.93
Weststellingwerf,2010,6.05,0.16,1.54,2.69,1.66
Weststellingwerf,2011,5.89,0.16,1.40,2.68,1.65
Weststellingwerf,2012,6.36,0.18,1.30,2.60,2.29
Weststellingwerf,2013,6.10,0.17,1.31,2.54,2.08
Weststellingwerf,2014,6.35,0.14,1.54,2.43,2.24
Westvoorne,2008,3.14,0.39,0.32,1.54,0.90
Westvoorne,2009,3.01,0.26,0.29,1.54,0.92
Westvoorne,2010,3.21,0.35,0.31,1.57,0.98
Westvoorne,2011,3.02,0.32,0.26,1.54,0.90
Westvoorne,2012,3.15,0.32,0.26,1.74,0.83
Westvoorne,2013,3.11,0.27,0.25,1.63,0.95
Westvoorne,2014,3.05,0.29,0.24,1.54,0.97
Wierden,2008,6.22,0.10,1.53,3.16,1.43
Wierden,2009,6.40,0.09,1.40,3.13,1.77
Wierden,2010,6.33,0.10,1.44,3.32,1.47
Wierden,2011,6.83,0.10,1.39,3.56,1.78
Wierden,2012,6.04,0.09,1.16,3.19,1.60
Wierden,2013,5.98,0.08,1.10,3.27,1.52
Wierden,2014,6.09,0.09,1.14,3.29,1.58
Wijchen,2008,14.40,0.06,3.64,7.76,2.94
Wijchen,2009,13.85,0.06,3.32,7.46,3.00
Wijchen,2010,13.79,0.07,3.33,7.36,3.04
Wijchen,2011,14.04,0.08,3.26,7.53,3.18
Wijchen,2012,13.40,0.06,3.05,7.12,3.17
Wijchen,2013,13.63,0.07,2.92,7.20,3.43
Wijchen,2014,13.64,0.08,3.15,7.10,3.31
Wijdemeren,2008,6.49,0.00,0.90,3.56,1.73
Wijdemeren,2009,6.30,0.00,0.87,3.38,1.75
Wijdemeren,2010,6.58,0.00,0.83,3.45,1.99
Wijdemeren,2011,6.60,0.30,0.80,3.57,1.92
Wijdemeren,2012,6.47,0.00,.,3.44,1.93
Wijdemeren,2013,6.22,0.34,0.70,3.37,1.80
Wijdemeren,2014,6.37,0.00,.,3.47,1.86
Wijk bij Duurstede,2008,5.48,0.09,0.59,3.42,1.38
Wijk bij Duurstede,2009,5.95,0.11,0.61,3.95,1.28
Wijk bij Duurstede,2010,5.91,0.09,0.56,3.79,1.46
Wijk bij Duurstede,2011,5.64,0.08,0.54,3.56,1.46
Wijk bij Duurstede,2012,5.40,0.10,0.54,3.36,1.40
Wijk bij Duurstede,2013,5.85,0.10,0.54,3.69,1.52
Wijk bij Duurstede,2014,5.69,0.09,0.54,3.59,1.46
Winsum,2008,2.59,0.00,0.30,0.94,1.32
Winsum,2009,2.54,0.05,0.28,0.87,1.33
Winsum,2010,2.65,0.10,0.28,0.84,1.42
Winsum,2011,2.48,0.12,0.26,0.86,1.24
Winsum,2012,2.36,0.11,0.23,0.79,1.24
Winsum,2013,2.01,0.12,0.21,0.64,1.05
Winsum,2014,1.84,0.12,0.15,0.56,1.01
Winterswijk,2008,14.13,0.23,3.55,5.60,4.75
Winterswijk,2009,13.53,0.24,3.26,5.25,4.78
Winterswijk,2010,12.99,0.25,2.90,5.09,4.75
Winterswijk,2011,12.74,0.21,3.13,4.87,4.53
Winterswijk,2012,12.29,0.25,2.91,4.92,4.21
Winterswijk,2013,11.47,0.23,2.75,4.42,4.08
Winterswijk,2014,11.63,0.24,2.67,4.85,3.86
Woensdrecht,2008,8.44,0.10,2.53,2.28,3.53
Woensdrecht,2009,8.37,0.09,2.30,2.23,3.75
Woensdrecht,2010,8.46,0.09,2.40,2.25,3.73
Woensdrecht,2011,9.06,0.08,3.04,2.39,3.54
Woensdrecht,2012,8.44,0.08,2.33,2.57,3.46
Woensdrecht,2013,8.89,0.08,2.51,2.55,3.75
Woensdrecht,2014,8.63,0.08,2.57,2.31,3.67
Woerden,2008,26.31,0.23,4.64,14.23,7.21
Woerden,2009,26.07,0.22,4.70,13.59,7.56
Woerden,2010,25.75,0.21,4.21,12.97,8.36
Woerden,2011,25.66,0.22,3.99,13.03,8.42
Woerden,2012,25.33,0.21,3.89,13.23,8.00
Woerden,2013,24.67,0.16,3.86,12.47,8.17
Woerden,2014,24.94,0.20,3.82,12.77,8.15
De Wolden,2008,4.58,0.27,0.63,2.10,1.58
De Wolden,2009,4.46,0.25,0.68,1.97,1.57
De Wolden,2010,4.48,0.18,0.74,2.00,1.55
De Wolden,2011,4.51,0.19,0.72,2.06,1.54
De Wolden,2012,4.42,0.18,0.58,2.12,1.54
De Wolden,2013,4.59,0.18,0.67,2.14,1.59
De Wolden,2014,4.79,0.17,0.69,2.44,1.50
Wormerland,2008,3.31,0.05,0.83,1.75,0.67
Wormerland,2009,3.43,0.00,1.02,1.67,0.70
Wormerland,2010,3.46,0.00,1.03,1.61,0.79
Wormerland,2011,3.72,0.05,1.29,1.58,0.80
Wormerland,2012,3.32,0.04,0.99,1.65,0.65
Wormerland,2013,3.58,0.04,0.89,1.64,1.01
Wormerland,2014,3.74,0.03,1.03,1.74,0.93
Woudenberg,2008,3.96,0.05,0.79,2.05,1.07
Woudenberg,2009,3.86,0.00,0.69,2.25,0.86
Woudenberg,2010,4.27,0.00,0.72,2.25,1.24
Woudenberg,2011,3.85,0.06,0.71,2.11,0.97
Woudenberg,2012,3.98,0.05,0.67,2.14,1.12
Woudenberg,2013,3.96,0.06,0.74,2.08,1.09
Woudenberg,2014,4.08,0.07,0.78,2.11,1.12
Woudrichem,2008,4.32,0.12,1.04,2.47,0.70
Woudrichem,2009,4.22,0.11,1.05,2.35,0.70
Woudrichem,2010,4.34,0.14,1.08,2.29,0.84
Woudrichem,2011,4.01,0.14,0.96,2.18,0.72
Woudrichem,2012,4.78,0.15,0.94,2.44,1.26
Woudrichem,2013,4.62,0.16,0.86,2.38,1.22
Woudrichem,2014,4.54,0.15,0.84,2.39,1.17
Zaanstad,2008,52.24,0.12,13.17,26.36,12.59
Zaanstad,2009,52.09,0.00,12.05,27.08,12.62
Zaanstad,2010,55.41,0.00,12.28,27.81,15.02
Zaanstad,2011,53.97,0.32,11.59,26.88,15.17
Zaanstad,2012,54.27,0.29,11.06,28.00,14.92
Zaanstad,2013,53.95,0.28,11.72,27.05,14.90
Zaanstad,2014,54.12,0.32,10.91,28.20,14.69
Zaltbommel,2008,13.94,1.06,2.25,7.94,2.68
Zaltbommel,2009,14.71,1.08,2.08,9.07,2.47
Zaltbommel,2010,14.16,1.15,1.99,9.15,1.87
Zaltbommel,2011,13.87,1.11,2.18,8.77,1.81
Zaltbommel,2012,13.81,1.15,2.22,8.42,2.02
Zaltbommel,2013,15.51,1.17,2.06,10.24,2.03
Zaltbommel,2014,16.41,1.12,1.90,11.07,2.32
Zandvoort,2008,4.19,0.00,0.16,2.11,1.93
Zandvoort,2009,4.24,0.00,0.12,2.08,2.04
Zandvoort,2010,4.19,0.00,0.11,2.07,2.01
Zandvoort,2011,4.31,0.00,0.07,2.18,2.05
Zandvoort,2012,4.43,0.00,0.05,2.19,2.20
Zandvoort,2013,4.40,0.00,0.05,2.22,2.14
Zandvoort,2014,4.22,0.00,0.06,2.23,1.93
Zederik,2008,4.45,0.13,1.39,2.12,0.81
Zederik,2009,4.22,0.12,1.33,2.01,0.76
Zederik,2010,4.67,0.12,1.38,1.98,1.20
Zederik,2011,4.86,0.12,1.38,2.09,1.26
Zederik,2012,4.94,0.11,1.47,2.00,1.36
Zederik,2013,4.66,0.11,1.38,1.93,1.23
Zederik,2014,4.57,0.11,1.36,1.94,1.16
Zeewolde,2008,7.89,0.22,1.29,5.30,1.08
Zeewolde,2009,7.95,0.22,1.35,5.22,1.17
Zeewolde,2010,8.26,0.22,1.35,5.30,1.39
Zeewolde,2011,9.20,0.23,1.81,5.83,1.32
Zeewolde,2012,8.48,0.21,1.44,5.64,1.19
Zeewolde,2013,8.98,0.23,1.49,5.75,1.51
Zeewolde,2014,8.70,0.26,1.40,5.55,1.49
Zeist,2008,35.82,0.03,2.70,16.91,16.19
Zeist,2009,36.57,0.04,2.77,16.75,17.02
Zeist,2010,34.88,0.05,2.93,15.67,16.23
Zeist,2011,37.46,0.02,2.99,17.22,17.22
Zeist,2012,35.62,0.04,2.55,15.75,17.28
Zeist,2013,34.27,0.03,1.98,15.30,16.95
Zeist,2014,33.12,0.03,2.56,15.56,14.97
Zevenaar,2008,13.47,0.12,2.69,6.33,4.32
Zevenaar,2009,13.04,0.13,2.38,6.18,4.35
Zevenaar,2010,13.40,0.15,2.29,6.30,4.66
Zevenaar,2011,13.58,0.14,2.46,6.51,4.47
Zevenaar,2012,13.65,0.15,2.23,7.16,4.11
Zevenaar,2013,13.02,0.14,2.07,6.78,4.03
Zevenaar,2014,13.19,0.14,2.29,6.71,4.05
Zoetermeer,2008,50.06,0.07,5.86,27.00,17.14
Zoetermeer,2009,49.39,0.10,6.03,25.95,17.32
Zoetermeer,2010,50.92,0.10,6.00,25.71,19.11
Zoetermeer,2011,49.26,0.10,5.14,25.70,18.32
Zoetermeer,2012,50.34,0.10,5.27,25.23,19.74
Zoetermeer,2013,48.13,0.00,.,23.98,18.63
Zoetermeer,2014,47.68,0.00,.,24.63,17.28
Zoeterwoude,2008,7.30,0.06,2.62,3.53,1.09
Zoeterwoude,2009,6.54,0.06,1.76,3.80,0.91
Zoeterwoude,2010,6.70,0.05,1.70,3.91,1.03
Zoeterwoude,2011,6.96,0.09,1.65,4.16,1.06
Zoeterwoude,2012,6.82,0.08,1.53,4.08,1.12
Zoeterwoude,2013,6.71,0.06,1.47,4.04,1.14
Zoeterwoude,2014,6.80,0.05,1.73,3.83,1.20
Zuidhorn,2008,4.03,0.11,0.49,1.57,1.86
Zuidhorn,2009,3.86,0.12,0.47,1.56,1.71
Zuidhorn,2010,3.81,0.13,0.44,1.51,1.72
Zuidhorn,2011,3.86,0.12,0.43,1.42,1.88
Zuidhorn,2012,3.72,0.12,0.35,1.52,1.73
Zuidhorn,2013,3.70,0.13,0.36,1.30,1.92
Zuidhorn,2014,3.86,0.13,0.39,1.45,1.90
Zuidplas,2008, , , , ,
Zuidplas,2009, , , , ,
Zuidplas,2010,12.76,1.21,3.17,6.00,2.38
Zuidplas,2011,12.57,1.04,3.27,5.98,2.28
Zuidplas,2012,12.91,1.06,3.20,6.35,2.31
Zuidplas,2013,12.59,1.09,3.00,6.18,2.32
Zuidplas,2014,12.65,1.11,2.99,6.28,2.27
Zundert,2008,6.24,1.11,1.02,2.66,1.45
Zundert,2009,6.17,1.02,1.05,2.59,1.52
Zundert,2010,6.43,1.07,1.08,2.55,1.73
Zundert,2011,6.62,1.01,1.11,2.68,1.82
Zundert,2012,6.96,1.03,1.13,2.64,2.16
Zundert,2013,6.79,0.99,1.08,2.74,1.99
Zundert,2014,6.84,0.97,1.07,2.94,1.86
Zutphen,2008,22.99,0.06,3.14,10.44,9.35
Zutphen,2009,23.76,0.05,3.11,11.49,9.10
Zutphen,2010,23.20,0.06,3.14,11.20,8.81
Zutphen,2011,24.74,0.05,3.10,12.77,8.82
Zutphen,2012,24.56,0.05,3.07,12.76,8.68
Zutphen,2013,23.69,0.05,3.04,12.33,8.27
Zutphen,2014,26.32,0.05,3.17,14.92,8.17
Zwartewaterland,2008,10.24,0.07,4.89,3.92,1.35
Zwartewaterland,2009,10.00,0.07,4.48,3.91,1.54
Zwartewaterland,2010,10.58,0.08,4.87,4.02,1.61
Zwartewaterland,2011,9.86,0.08,4.75,3.88,1.14
Zwartewaterland,2012,9.43,0.08,4.48,3.60,1.27
Zwartewaterland,2013,9.03,0.09,4.43,3.25,1.26
Zwartewaterland,2014,8.87,0.05,4.41,3.13,1.27
Zwijndrecht,2008,19.04,0.00,4.34,10.32,4.36
Zwijndrecht,2009,18.61,0.00,4.46,9.71,4.43
Zwijndrecht,2010,18.56,0.00,4.48,9.97,4.09
Zwijndrecht,2011,19.02,0.01,4.39,9.72,4.90
Zwijndrecht,2012,18.46,0.02,4.29,9.37,4.78
Zwijndrecht,2013,18.25,0.02,4.19,9.54,4.50
Zwijndrecht,2014,18.19,0.02,4.01,9.48,4.69
Zwolle,2008,91.25,0.07,11.52,45.58,34.08
Zwolle,2009,91.51,0.10,10.21,44.85,36.35
Zwolle,2010,93.50,0.07,11.43,43.52,38.47
Zwolle,2011,95.72,0.07,11.44,45.61,38.61
Zwolle,2012,94.65,0.09,11.84,43.64,39.09
Zwolle,2013,91.80,0.06,11.14,41.77,38.84
Zwolle,2014,91.82,0.05,11.33,41.89,38.54
